title,year,cast,director,rating,total_rating_count,genres
The Godfather,1972,"Richard Conte, Filomena Spagnuolo, John Martino, John Marley, Jeannie Linero",Francis Ford Coppola,4.54 out of 5,"1,827,353","Crime, Drama"
Schindler's List,1993,"Zuzanna Lipiec, Maria Peszek, Jonathan Sagall, Katarzyna Śmiechowicz, Tadeusz Huk",Steven Spielberg,4.53 out of 5,"996,015","History, Drama, War"
The Human Condition I: No Greater Love,1959,"Akio Isono, Eitarō Ozawa, Ineko Arima, Ryuji Kita, Shinsuke Ashida",Masaki Kobayashi,4.52 out of 5,"26,752","War, Drama, History"
The Lord of the Rings: The Return of the King,2003,"Joel Tobeck, Rick Porras, Billy Boyd, John Bach, Peter Tait",Peter Jackson,4.52 out of 5,"1,517,266","Fantasy, Adventure, Action"
Ikiru,1952,"Shigeo Katō, Sōjirō Motoki, Kumeko Urabe, Takeo Nagashima, Jun'ichirō Mukai",Akira Kurosawa,4.52 out of 5,"136,979",Drama
Ran,1985,"Tetsuo Yamashita, Yoshiko Miyazaki, Susumu Terajima, Masaaki Sasaki, Norio Matsui",Akira Kurosawa,4.51 out of 5,"166,682","Drama, History, Action"
La Haine,1995,"Benoît Magimel, Arash Mansour, Eric Pujol, Philippe Nahon, Karim Belkhadra",Mathieu Kassovitz,4.51 out of 5,"658,092",Drama
A Brighter Summer Day,1991,"Chiu-Yun Lu, Stephanie Lai, Chung-Chang Tuan, Ming-Che Lee, Yen Hung-ya",Edward Yang,4.50 out of 5,"60,654","Drama, Crime, Romance"
"The Good, the Bad and the Ugly",1966,"Amerigo Castrighella, Saturno Cerra, Silvana Bacci, Lee Van Cleef, Antonio Casas",Sergio Leone,4.50 out of 5,"516,442",Western
Le Trou,1960,"Jean Luisi, André Bervil, Jean Keraudy, Paul Pavel, Philippe Dumat",Jacques Becker,4.48 out of 5,"36,149","Drama, Crime, Thriller"
Cinema Paradiso,1988,"Margherita Mignemi, Salvatore Cascio, Leopoldo Trieste, Enzo Cannavale, Agnese Nano",Giuseppe Tornatore,4.48 out of 5,"343,113","Drama, Romance"
The Dark Knight,2008,"Chris Petschler, Chin Han, Sam Derence, Jonathan Ryland, Laura Chernicky",Christopher Nolan,4.48 out of 5,"3,003,728","Action, Drama, Thriller, Crime"
Autumn Sonata,1978,"Knut Wigert, Ingrid Bergman, Liv Ullmann, Erland Josephson, Georg Løkkeberg",Ingmar Bergman,4.48 out of 5,"99,854",Drama
GoodFellas,1990,"Gina Mastrogiacomo, Vito Antuofermo, Mark Jacobs, Andrew Scudiero, Gina Mattia",Martin Scorsese,4.47 out of 5,"1,465,680","Drama, Crime"
Grave of the Fireflies,1988,"Akemi Yamaguchi, Teruhisa Harita, Kiyoshi Yanagawa, Kozo Hashida, Tsutomu Tatsumi",Isao Takahata,4.47 out of 5,"713,634","War, Drama, Animation"
Neon Genesis Evangelion: The End of Evangelion,1997,"Motomu Kiyokawa, Kotono Mitsuishi, Megumi Hayashibara, Yuko Miyamura, Fumihiko Tachiki","Hideaki Anno, Kazuya Tsurumaki",4.47 out of 5,"371,356","Science Fiction, Drama, Action, Animation"
Woman in the Dunes,1964,"Hiroko Itō, Eiji Okada, Kyôko Kishida, Kōji Mitsui",Hiroshi Teshigahara,4.46 out of 5,"52,148","Thriller, Drama"
There Will Be Blood,2007,"Barry Del Sherman, John W. Watts, Ciarán Hinds, Randall Carver, Louise Gregg",Paul Thomas Anderson,4.46 out of 5,"886,985",Drama
Spirited Away,2001,"Keiko Tsukamoto, Katsutomo Shîbara, Makiko Oku, Shigeru Wakita, Takashi Naito",Hayao Miyazaki,4.45 out of 5,"2,523,575","Family, Fantasy, Animation"
Paths of Glory,1957,"Emile Meyer, Kirk Douglas, Christiane Kubrick, Harold Benedict, Fred Bell",Stanley Kubrick,4.45 out of 5,"229,090","War, History, Drama"
The Human Condition II: Road to Eternity,1959,"Michiyo Aratama, Akiji Kobayashi, Kan Yanagiya, Michirō Minami, Jun Tatara",Masaki Kobayashi,4.44 out of 5,"19,893","History, Drama, War"
Apocalypse Now,1979,"G. D. Spradlin, Charles Robinson, Evan A. Lottman, Dennis Hopper, Scott Glenn",Francis Ford Coppola,4.44 out of 5,"725,746","Drama, War"
Andrei Rublev,1966,"Bolot Beyshenaliev, Nelli Snegina, Nikolay Sibeikin, Igor Donskoy, G. Pokorskiy",Andrei Tarkovsky,4.44 out of 5,"75,076","Drama, History"
The Apartment,1960,"David Lewis, Hope Holiday, Johnny Seven, Herschel Graham, Monty O'Grady",Billy Wilder,4.44 out of 5,"257,367","Drama, Romance, Comedy"
Tokyo Story,1953,"Hisao Toake, Kyōko Kagawa, Chishū Ryū, Shozo Suzuki, Shirō Ōsaka",Yasujirō Ozu,4.44 out of 5,"117,527",Drama
Sunset Boulevard,1950,"Creighton Hale, Lee Miller, E. Mason Hopper, Roy Thompson, H.B. Warner",Billy Wilder,4.44 out of 5,"266,261",Drama
The Passion of Joan of Arc,1928,"Paul Delauzac, Eugène Silvain, Jacques Arnna, Gilbert Dacheux, Marie Lacroix",Carl Theodor Dreyer,4.43 out of 5,"110,415","History, Drama"
The Cranes Are Flying,1957,"Ivan Zalesskiy, Leonid Alekseyev, Lyubov Studneva, Aleksey Batalov, Irina Preis",Mikhail Kalatozov,4.43 out of 5,"43,927","Romance, War, Drama"
Portrait of a Lady on Fire,2019,"Adèle Haenel, Luàna Bajrami, Christel Baras, Valeria Golino, Noémie Merlant",Céline Sciamma,4.43 out of 5,"828,214","History, Drama, Romance"
Incendies,2010,"Yousef Shweihat, Baraka Rahmani, Asriah Nijres, Abdelghafour Elaaziz, Ahmad Massad",Denis Villeneuve,4.42 out of 5,"348,779","Mystery, War, Drama"
Whiplash,2014,"Adrian Burks, Henry G. Sanders, Jocelyn Ayanna, Tyler Kimball, Nate Lang",Damien Chazelle,4.42 out of 5,"2,977,387","Drama, Music"
Mishima: A Life in Four Chapters,1985,"Hiroshi Mikami, Go Riju, Kojiro Oka, Hideo Fukuhara, Setsuko Karasuma",Paul Schrader,4.42 out of 5,"84,522",Drama
Spider-Man: Across the Spider-Verse,2023,"Mike Rianda, Libby Thomas Dickey, Ashley London, Angelo Sekou Kouyate, Jason Linere-White","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",4.42 out of 5,"2,493,081","Animation, Adventure, Science Fiction, Action"
Fanny and Alexander,1982,"Mona Andersson, Nils Brandt, Jarl Kulle, Bertil Guve, Christina Schollin",Ingmar Bergman,4.42 out of 5,"59,458","Mystery, Drama, Fantasy"
Close-Up,1990,"Mohsen Makhmalbaf, Abolfazl Ahankhah, Mohammad Ali Barrati, Abbas Kiarostami, Nayer Mohseni Zonoozi",Abbas Kiarostami,4.42 out of 5,"102,003","Drama, Crime"
Memories of Murder,2003,"Ryu Tae-ho, Lee Dong-yong, Kim Roi-ha, Yoon Ga-hyun, Lee Da-il",Bong Joon Ho,4.42 out of 5,"604,216","Thriller, Drama, Crime"
The Battle of Algiers,1966,"Fatiha Djoudi, Noureddine Brahimi, Mohamed Ben Kassen, Larbi Zekkal, Si Mohamed Baghdadi",Gillo Pontecorvo,4.42 out of 5,"84,516","War, History, Drama"
The Lord of the Rings: The Two Towers,2002,"Dra McKay, John Bach, Joseph Mika-Hunt, Francis Mountjoy, Bruce Allpress",Peter Jackson,4.41 out of 5,"1,478,902","Fantasy, Adventure, Action"
It's a Wonderful Life,1946,"Todd Karns, Stanley Andrews, J. Farrell MacDonald, Tom Chatterton, Harry Holman",Frank Capra,4.41 out of 5,"528,158","Family, Drama, Fantasy"
Stalker,1979,"Faime Jurno, Vladimir Zamanskiy, Aleksandr Kaydanovskiy, Nikolay Grinko, Raimo Rendi",Andrei Tarkovsky,4.41 out of 5,"278,952","Drama, Science Fiction"
Interstellar,2014,"Liam Dickinson, David Gyasi, Griffen Fraser, Alexander Michael Helisek, Josh Stewart",Christopher Nolan,4.41 out of 5,"3,716,906","Science Fiction, Drama, Adventure"
The Ascent,1977,"Igor Bezyaev, Viktoriya Goldentul, Anatoli Chebotaryov, Gennadi Nenashev, Boris Plotnikov",Larisa Shepitko,4.41 out of 5,"35,793","Drama, War"
Sansho the Bailiff,1954,"Goro Nakanishi, Ryōnosuke Azuma, Hachiro Okuni, Yoshiaki Hanayagi, Kyōko Kagawa",Kenji Mizoguchi,4.41 out of 5,"31,949",Drama
Spider-Man: Into the Spider-Verse,2018,"David Applebee, Melissa Sturm, Lex Lang, Holly Walker, Stan Lee","Peter Ramsey, Bob Persichetti, Rodney Rothman",4.41 out of 5,"3,187,423","Adventure, Animation, Science Fiction, Action"
The Empire Strikes Back,1980,"Marjorie Eaton, Jeremy Bulloch, Peter Mayhew, Mark Hamill, Mac McDonald",Irvin Kershner,4.40 out of 5,"1,545,223","Action, Science Fiction, Adventure"
I Am Cuba,1964,"Salvador Wood, Luisa María Jiménez Rodríquez, Pepe Ramírez, Manuel J. Mora, Mario González Broche",Mikhail Kalatozov,4.40 out of 5,"31,193",Drama
The Handmaiden,2016,"Katsuhiro Nagano, Kim Min-hee, Alexander Scarborough, Kim In-woo, Lee Yong-nyeo",Park Chan-wook,4.40 out of 5,"579,983","Thriller, Romance, Drama"
Dune: Part Two,2024,"Alan Mehdizadeh, Gábor Szemán, Abdellah Echahbi, Tara Breathnach, Billy Clements",Denis Villeneuve,4.40 out of 5,"2,331,022","Adventure, Science Fiction"
The Red Shoes,1948,"Eric Berry, Jerry Verno, Jack Carter, Patrick Troughton, Austin Trevor","Emeric Pressburger, Michael Powell",4.40 out of 5,"119,505","Drama, Romance"
Do the Right Thing,1989,"John Savage, Ruby Dee, Sixto Ramos, Miguel Sandoval, Ginny Yang",Spike Lee,4.40 out of 5,"391,910",Drama
Persona,1966,"Margaretha Krook, Liv Ullmann, Bibi Andersson, Gunnar Björnstrand, Jörgen Lindström",Ingmar Bergman,4.40 out of 5,"324,887",Drama
A Woman Under the Influence,1974,"Katherine Cassavetes, Matthew Cassel, Frank Richards, Matthew Labyorteaux, Charles Horvath",John Cassavetes,4.40 out of 5,"107,389",Drama
Barry Lyndon,1975,"Peter Cellier, Ryan O'Neal, George Sewell, Anthony Herrick, Anthony Sharp",Stanley Kubrick,4.40 out of 5,"272,092","Drama, History, War, Romance"
The Pianist,2002,"Thomas Kretschmann, Rafał Mohr, Uwe Rathsam, Jacek Wolszczak, Jerzy Góralczyk",Roman Polanski,4.39 out of 5,"879,783","Drama, War"
Once Upon a Time in the West,1968,"Saturno Cerra, Woody Strode, Aldo Sambrell, Charles Bronson, Jason Robards",Sergio Leone,4.39 out of 5,"210,672","Drama, Western"
Perfect Blue,1997,"Kisho Taniyama, Junko Iwao, Osamu Hosoi, Soichiro Hoshi, Masashi Ebara",Satoshi Kon,4.39 out of 5,"771,410","Thriller, Animation, Horror"
In the Mood for Love,2000,"Joe Cheung, Kelly Lai Chen, Chan Man-Lei, Siu Ping-Lam, Rebecca Pan",Wong Kar-wai,4.39 out of 5,"658,424","Drama, Romance"
Nights of Cabiria,1957,"Mario Passante, Leo Catozzo, Sandro Moretti, Luciano Bonanni, Amedeo Nazzari",Federico Fellini,4.39 out of 5,"65,636",Drama
"Paris, Texas",1984,"Edward Fayton, Tom Farrell, Jeni Vici, Viva, Socorro Valdez",Wim Wenders,4.39 out of 5,"463,366",Drama
Nobody Knows,2004,"Yukiko Okamoto, Susumu Terajima, Kazuyoshi Kushida, YOU, Yuichi Kimura",Hirokazu Kore-eda,4.39 out of 5,"73,936",Drama
Princess Mononoke,1997,"Kaoru Kobayashi, Akihiro Miwa, Mitsuko Mori, Sumi Shimamoto, Makoto Satō",Hayao Miyazaki,4.38 out of 5,"1,132,573","Adventure, Fantasy, Animation"
Oldboy,2003,"Jang Chae-soo, Syd Lim, Yong-ih, Shin Bi-joon, Ji Dae-han",Park Chan-wook,4.38 out of 5,"1,033,707","Thriller, Mystery, Drama, Action"
Witness for the Prosecution,1957,"Torin Thatcher, Ruta Lee, Jeffrey Sayre, Marjorie Eaton, Don Ames",Billy Wilder,4.38 out of 5,"85,917","Mystery, Crime, Drama"
Eternity and a Day,1998,"Eleni Gerasimidou, Maria Saltiri, Aristotelis Aposkitis, Yiorgos Popof, Leonidas Vardaros",Theo Angelopoulos,4.38 out of 5,"34,403",Drama
The Lord of the Rings: The Fellowship of the Ring,2001,"Lance Fabian Kemp, Richard Maybery, Ray Henwood, Marton Csokas, Rachel Clentworth",Peter Jackson,4.38 out of 5,"1,962,074","Fantasy, Adventure, Action"
Lawrence of Arabia,1962,"Peter O'Toole, Peter Burton, John Robinson, Harry Fowler, José Ferrer",David Lean,4.38 out of 5,"243,235","Adventure, War, History"
Sherlock Jr.,1924,"Joe Keaton, Christine Francis, Betsy Ann Hisle, Steve Murphy, Buster Keaton",Buster Keaton,4.38 out of 5,"100,908","Action, Comedy, Mystery"
Love Exposure,2008,"Rie Nonaka, Mitsuru Kuramoto, Mitsuru Ôno, Ryosuke Nagata, Ryûshi Izumi",Sion Sono,4.38 out of 5,"60,113","Comedy, Drama, Romance, Action"
Scenes from a Marriage,1974,"Gunnel Lindblom, Wenche Foss, Jan Malmsjö, Liv Ullmann, Erland Josephson",Ingmar Bergman,4.38 out of 5,"45,748","Romance, Drama"
Red Beard,1965,"Yoshio Tsuchiya, Miyoko Nakamura, Kyōko Kagawa, Terumi Niki, Chishū Ryū",Akira Kurosawa,4.38 out of 5,"26,238",Drama
Satantango,1994,"Zsuzsa Fodor, Rita Deák Varga, György Barkó, Erika Bók, Péter Dobai",Béla Tarr,4.37 out of 5,"31,195",Drama
It's Such a Beautiful Day,2012,"Don Hertzfeldt, Sara Cushman",Don Hertzfeldt,4.37 out of 5,"101,628","Comedy, Animation"
Rear Window,1954,"Raymond Burr, Robert Sherman, Gig Young, Marla English, Charles Harvey",Alfred Hitchcock,4.37 out of 5,"616,309","Mystery, Thriller"
Life Is Beautiful,1997,"Hannes Hellmann, Wolfgang Hillinger, Francesca Messinese, Andrea Nardi, Nicoletta Braschi",Roberto Benigni,4.37 out of 5,"502,743","Comedy, Drama"
A Separation,2011,"Shahab Hosseini, Shirin Yazdanbakhsh, Armine Zeytounchian, Mohammad Sajadian, Babak Karimi",Asghar Farhadi,4.37 out of 5,"143,181",Drama
Where Is the Friend's House?,1987,"Mohammad Reza Parvaneh, Mohamed Hocine Rouhi, Mohammad Reza Nematzadeh, Farahanka Brothers, Hager Faraz Poor",Abbas Kiarostami,4.37 out of 5,"95,377","Family, Drama"
One Flew Over the Cuckoo's Nest,1975,"Peter Brocco, Delos V. Smith Jr., Danny DeVito, Christopher Lloyd, Mwako Cumbuka",Miloš Forman,4.36 out of 5,"713,173",Drama
Paper Moon,1973,"James N. Harrell, Lila Waters, Ryan O'Neal, Eleanor Bogart, Art Ellison",Peter Bogdanovich,4.36 out of 5,"79,546","Drama, Crime, Comedy"
The Thing,1982,"Peter Maloney, Norbert Weisser, William Zeman, T.K. Carter, Thomas G. Waites",John Carpenter,4.35 out of 5,"895,060","Mystery, Science Fiction, Horror"
Landscape in the Mist,1988,"Gerasimos Skiadaresis, Michalis Zeke, Christoforos Nezer, Tania Palaiologou, Toula Stathopoulou",Theo Angelopoulos,4.35 out of 5,"26,090",Drama
All About Eve,1950,"Jack Deery, Robert Whitney, Jack Chefe, Leland Harris, Randy Stuart",Joseph L. Mankiewicz,4.35 out of 5,"111,050",Drama
An Elephant Sitting Still,2018,"3502 tenant, Zhang Yu, Xiangrong Dong, Zhaoyan Guozhang, Peng Yuchang",Hu Bo,4.35 out of 5,"31,630",Drama
Army of Shadows,1969,"Denis Sadier, Jean-Pierre Cassel, Alain Mottet, Jacques Léonard, Paul Meurisse",Jean-Pierre Melville,4.35 out of 5,"46,787","Thriller, History, War"
Inglourious Basterds,2009,"Greg Nicotero, Alex Boden, Bela B., Vitus Wieser, Alexander Fehling",Quentin Tarantino,4.35 out of 5,"2,390,207","Drama, Thriller, War"
Ordet,1955,"Hanne Agesen, Ejner Federspiel, Preben Lerdorff Rye, Kirsten Andreasen, Henrik Malberg",Carl Theodor Dreyer,4.35 out of 5,"30,075",Drama
A Man Escaped,1956,"Jacques Ertaud, Roger Planchon, François Leterrier, Jacques Oerlemans, Jean Paul Delhumeau",Robert Bresson,4.35 out of 5,"57,350","Drama, Thriller"
Apur Sansar,1959,"Dhiren Ghosh, Jogesh Chatterjee, Jiten Bhons, Asha Devi, Abhijit Chatterjee",Satyajit Ray,4.35 out of 5,"23,839",Drama
Se7en,1995,"Paul Eckstein, Rachel Flanagan, Michael Massee, Beverly Burke, Bob Stephenson",David Fincher,4.35 out of 5,"2,306,606","Crime, Mystery, Thriller"
Howl's Moving Castle,2004,"Keiko Tsukamoto, Makoto Yasumura, Hiroyuki Kamikawaji, Akihiro Miwa, Takeshi Miyajima",Hayao Miyazaki,4.34 out of 5,"1,673,084","Fantasy, Adventure, Animation"
Good Will Hunting,1997,"Ralph St. George, James Allodi, Thomas Lundy, Chris Britton, Ben Affleck",Gus Van Sant,4.34 out of 5,"1,851,295",Drama
Farewell My Concubine,1993,"Zhi Yitong, Jiang Wenli, Li Chun, Yang Yong Chao, Gong Li",Chen Kaige,4.34 out of 5,"46,397",Drama
The Wages of Fear,1953,"Jo Dest, Yves Montand, Peter van Eyck, François Valorbe, Joseph Palau-Fabre",Henri-Georges Clouzot,4.34 out of 5,"49,986","Adventure, Thriller, Drama"
Three Colours: Red,1994,"Leo Ramseyer, Paul Vermeulen, Benoît Régent, Jean Schlegel, Brigitte Raul",Krzysztof Kieślowski,4.34 out of 5,"149,326","Mystery, Drama, Romance"
City Lights,1931,"Robert Graves, Buster Brodie, Charlie Chaplin, Willie Keeler, Betty Blair",Charlie Chaplin,4.34 out of 5,"145,993","Drama, Comedy, Romance"
The Seventh Seal,1957,"Gunnel Lindblom, Siv Aleros, Inga Gill, Tor Isedal, Josef Norman",Ingmar Bergman,4.34 out of 5,"302,708","Fantasy, Drama"
The Silence of the Lambs,1991,"Brent Hinkley, Jodie Foster, Leib Lensky, Scott Glenn, John Hall",Jonathan Demme,4.34 out of 5,"2,017,199","Horror, Crime, Thriller, Drama"
Singin' in the Rain,1952,"Carl Milletaire, Madge Blake, Lyle Clark, Pat Walker, Sue Allen","Gene Kelly, Stanley Donen",4.34 out of 5,"458,416","Romance, Comedy"
Late Spring,1949,"Mikuma Shimada, Shinichiro Takayama, Kinzo Hasegawa, Tadaichi Aoki, Ichiro Kitamura",Yasujirō Ozu,4.33 out of 5,"52,252",Drama
Wild Strawberries,1957,"Gunnel Lindblom, Helge Wulff, Josef Norman, Harry Asklund, Gunnar Björnstrand",Ingmar Bergman,4.33 out of 5,"139,013",Drama
How to Make Millions Before Grandma Dies,2024,"Tawee Sarochwiksit, Jindarat Saetae, Nazznaphazz Tavanukulkit, Visart Liyawarakhun, Wattana Subpakit",Pat Boonnitipat,4.34 out of 5,"106,370",Drama
Amadeus,1984,"Vojtěch Nalezenec, Lubomír Havlák, Anne Howells, Christine Ebersole, Jiří Krytinář",Miloš Forman,4.33 out of 5,"370,388","History, Drama, Music"
All That Jazz,1979,"Leah Ayres, Harry Agress, Joanna Merlin, Wayne Carson, Ben Masters",Bob Fosse,4.33 out of 5,"94,521","Music, Drama"
Mirror,1975,"Mariya Tarkovskaya-Vishnyakova, Alla Demidova, Dionisio García Zapico, Arseny Tarkovsky, Teresa Del Bosque",Andrei Tarkovsky,4.33 out of 5,"142,007","History, Drama"
Before Sunset,2004,"Denis Evrard, Albert Delpy, Vernon Dobtcheff, Julie Delpy, Mariane Plasteig",Richard Linklater,4.33 out of 5,"619,781","Drama, Romance"
Still Walking,2008,"Susumu Terajima, Shohei Tanaka, Kirin Kiki, Hiroshi Abe, YOU",Hirokazu Kore-eda,4.33 out of 5,"48,916","Drama, Family"
I'm Still Here,2024,"Luiza Kosovski, Mônica Braga, Maeve Jinkings, Thelmo Fernandes, Hugo Camizão",Walter Salles,4.33 out of 5,"567,523","Drama, History"
