title,year,cast,director,rating,total_rating_count,genres
The Sacrifice,1986,"Per Källman, Tommy Nordahl, Tommy Kjellqvist, Erland Josephson, Valérie Mairesse",Andrei Tarkovsky,4.30 out of 5,"72,294",Drama
Chinatown,1974,"Faye Dunaway, Roy Roberts, Federico Roberto, Perry Lopez, Bob Golden",Roman Polanski,4.30 out of 5,"378,517","Thriller, Mystery, Crime, Drama"
Perfect Days,2023,"Yasushi Okuwa, Atsushi Fukazawa, Makiko Okamoto, Tateto Serizawa, Isao Matsui",Wim Wenders,4.29 out of 5,"541,949",Drama
8½,1963,"Giuditta Rissone, Jean Rougeul, Georgia Simmons, Marcello Mastroianni, Hazel Rogers",Federico Fellini,4.29 out of 5,"199,726",Drama
The Treasure of the Sierra Madre,1948,"Martín Garralaga, Margarito Luna, Valdespino, Humphrey Bogart, Ernesto Escoto",John Huston,4.29 out of 5,"71,935","Drama, Western, Adventure"
The Father,2020,"Olivia Williams, Mark Gatiss, Anthony Hopkins, Roman Zeller, Imogen Poots",Florian Zeller,4.29 out of 5,"354,677",Drama
Chungking Express,1994,"Leung San, Faye Wong, Takeshi Kaneshiro, Piggy Chan Kam-Chuen, Lynne Langdon",Wong Kar-wai,4.29 out of 5,"534,119","Comedy, Drama, Romance"
Underground,1995,"Anja Popović, Slavko Štimac, Borivoje Todorović, Petar Kralj, Lazar Ristovski",Emir Kusturica,4.29 out of 5,"30,949","Comedy, Drama, War"
Terminator 2: Judgment Day,1991,"Mic Rodgers, Jennifer Jacono, J. Rob Jordan, Martin DeLuca, Lisa Brinegar",James Cameron,4.29 out of 5,"708,985","Thriller, Action, Science Fiction"
La Notte,1961,"Monica Vitti, Rosy Mazzacurati, Maria Pia Luzi, Vittorio Bertolini, Umberto Eco",Michelangelo Antonioni,4.29 out of 5,"60,254","Drama, Romance"
Swing Girls,2004,"Jiro Sato, Masashi Mikami, Yoshiyuki Morishita, Yoji Tanaka, Seiji Fukushi",Shinobu Yaguchi,4.29 out of 5,"28,438","Comedy, Music"
Fantastic Mr. Fox,2009,"Helen McCrory, Tristan Oliver, Jennifer Furches, Rob Hersov, Garth Jennings",Wes Anderson,4.29 out of 5,"1,842,824","Family, Adventure, Comedy, Animation"
The Lives of Others,2006,"Michael Gerber, Gabi Fleming, Martina Gedeck, Klaus Münster, Ulrich Mühe",Florian Henckel von Donnersmarck,4.28 out of 5,"153,068","Drama, Thriller"
The Hunt,2012,"Thomas Ravn, Jakob Højlev Jørgensen, Øyvind Hagen-Traberg, Daniel Engstrup, Mads Mikkelsen",Thomas Vinterberg,4.28 out of 5,"402,910",Drama
Sing Sing,2023,"Brent Buell, Clarence Maclin, Katherine Vockins, Camillo ""Carmine"" LoVacco, Patrick ""Preme"" Griffin",Greg Kwedar,4.28 out of 5,"212,653",Drama
Heat,1995,"Andrew Camuccio, Bill McIntosh, Danny Trejo, Mary Kircher, Henry Rollins",Michael Mann,4.28 out of 5,"709,266","Crime, Action, Drama"
Opening Night,1977,"Sharon Van Ivan, Katherine Cassavetes, Naomi Stevens, John Tuell, David Rowlands",John Cassavetes,4.28 out of 5,"46,090",Drama
Akira,1988,"Koichi Kitamura, Hiroshi Ôtake, Mizuho Suzuki, Tarō Ishida, Fukue Itô",Katsuhiro Otomo,4.28 out of 5,"603,024","Animation, Action, Science Fiction"
Nostalgia,1983,"Laura De Marchi, Livio Galassi, Erland Josephson, Piero Vida, Raffaele Di Mario",Andrei Tarkovsky,4.28 out of 5,"63,211","Drama, Romance"
2001: A Space Odyssey,1968,"Péter Delmár, Gary Lockwood, Harry Fielder, Glenn Beck, Keith Denny",Stanley Kubrick,4.28 out of 5,"1,081,941","Adventure, Mystery, Science Fiction"
Everything Everywhere All at Once,2022,"Dan Brown, Jamie Lee Curtis, Sunita Mani, Boon Pin Koh, Cara Marie Chooljian","Daniel Scheinert, Daniel Kwan",4.28 out of 5,"3,028,739","Science Fiction, Adventure, Comedy, Action"
Children of Paradise,1945,"Jean-Louis Barrault, Pierre Renoir, Jean Lanier, Lucien Walter, Albert Broquin",Marcel Carné,4.28 out of 5,"20,656","Drama, Romance"
La Dolce Vita,1960,"Renée Longarini, Vittorio Manfrino, Ignazio Balsamo, Marta Melocco, Aurelio Nardi",Federico Fellini,4.27 out of 5,"119,644","Drama, Comedy"
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,"Kotono Mitsuishi, Koki Uchiyama, Junko Iwao, Megumi Hayashibara, Mariya Ise","Hideaki Anno, Katsuichi Nakayama, Kazuya Tsurumaki, Mahiro Maeda",4.27 out of 5,"99,554","Drama, Science Fiction, Action, Animation"
Throne of Blood,1957,"Akira Kubo, Yoshio Tsuchiya, Isuzu Yamada, Gen Shimizu, Akira Tani",Akira Kurosawa,4.27 out of 5,"91,960","History, Drama"
Casablanca,1942,"Joy Page, Henry Rowland, Leo White, Humphrey Bogart, Arthur Dulac",Michael Curtiz,4.27 out of 5,"582,266","Drama, Romance"
The Cremator,1969,"Helena Kotoučová, Zdeněk Šmidrkal, Eva Ulincová, Radomír Hubáček, Jan Řeřicha",Juraj Herz,4.27 out of 5,"37,135","Horror, Drama, Comedy"
The Man Who Shot Liberty Valance,1962,"Charles Seel, John Barton, Dorothy Phillips, Jack Tornek, Tom Hennesy",John Ford,4.27 out of 5,"73,365",Western
Fight Club,1999,"Rob Lanza, Phil Hawn, David Andrews, Christina Cabot, Edward Norton",David Fincher,4.27 out of 5,"3,596,249",Drama
