title,year,cast,director,rating,total_rating_count,genres
Bicycle Thieves,1948,"Elena Altieri, Mario Meniconi, Sergio Leone, Giulio Battiferri, Checco Rissone",Vittorio De Sica,4.30 out of 5,214304,Drama
Django Unchained,2012,"Ted Neeley, Kel Owens, Tom Savini, Craig Stark, David Steen",Quentin Tarantino,4.30 out of 5,2248489,"Drama, Western"
The Sacrifice,1986,"Tommy Nordahl, Valérie Mairesse, Jane Friedmann, Helena Brodin, Erland Josephson",Andrei Tarkovsky,4.30 out of 5,72337,Drama
Chinatown,1974,"Faye Dunaway, Roy Jenson, Richard Warren, Rance Howard, Roman Polanski",Roman Polanski,4.30 out of 5,378721,"Thriller, Mystery, Crime, Drama"
Perfect Days,2023,"Gan Furukawa, Hiroto Oshita, Nao Takahashi, Yumi Asou, Miyako Tanaka",Wim Wenders,4.29 out of 5,542417,Drama
8½,1963,"Mario Tarchetti, Tito Masini, Giuditta Rissone, Maria Tedeschi, Mino Doro",Federico Fellini,4.29 out of 5,199835,Drama
The Treasure of the Sierra Madre,1948,"Manuel Dondé, Ildefonso Vega, Ignacio Villalbazo, Ray Spiker, Ralph Dunn",John Huston,4.29 out of 5,71961,"Drama, Western, Adventure"
The Father,2020,"Ayesha Dharker, Imogen Poots, Olivia Colman, Rufus Sewell, Roman Zeller",Florian Zeller,4.29 out of 5,354852,Drama
Chungking Express,1994,"Faye Wong, Vickie Eng, Tony Leung, Joh Chung-Sing Rico, Liang Zhen",Wong Kar-wai,4.29 out of 5,534591,"Comedy, Drama, Romance"
Underground,1995,"Erol Kadić, Josif Tatić, Anja Popović, Ernst Stötzner, Zoran Miljković",Emir Kusturica,4.29 out of 5,30961,"Comedy, Drama, War"
Terminator 2: Judgment Day,1991,"Terrence Evans, Richard Ruskin, Sven-Ole Thorsen, Don Lake, Dean Norris",James Cameron,4.29 out of 5,709569,"Thriller, Action, Science Fiction"
La Notte,1961,"Ugo Fortunati, Umberto Eco, Bernhard Wicki, Gitt Magrini, Giorgio Negro",Michelangelo Antonioni,4.29 out of 5,60286,"Drama, Romance"
Swing Girls,2004,"Yuika Motokariya, Mutsumi Kanazaki, Naomi Nishida, Miho Shiraishi, Natsuki Nakazawa",Shinobu Yaguchi,4.29 out of 5,28503,"Comedy, Music"
Fantastic Mr. Fox,2009,"Roman Coppola, Jarvis Cocker, Juman Malouf, Martin Ballard, Adrien Brody",Wes Anderson,4.29 out of 5,1844445,"Family, Adventure, Comedy, Animation"
The Lives of Others,2006,"Volkmar Kleinert, Thomas Arnold, Hubertus Hartmann, Hildegard Schroedter, Herbert Knaup",Florian Henckel von Donnersmarck,4.28 out of 5,153168,"Drama, Thriller"
The Hunt,2012,"Anne Louise Hassing, Rikke Bergmann, Annika Wedderkopp, Nicolai Dahl Hamilton, Jytte Kvinesdal",Thomas Vinterberg,4.28 out of 5,403212,Drama
Sing Sing,2023,"Sean San Jose, Pedro Cotto, Clarence Maclin, Patrick ""Preme"" Griffin, Dario Peña",Greg Kwedar,4.28 out of 5,213094,Drama
Heat,1995,"Wendy L. Walsh, Annette Goodman, Brian Libby, Jon Voight, Rainell Saunders",Michael Mann,4.28 out of 5,710162,"Crime, Action, Drama"
Opening Night,1977,"Patrick Labyorteaux, Briana Carver, Peter Lampert, Carol Warren, Gena Rowlands",John Cassavetes,4.28 out of 5,46127,Drama
Akira,1988,"Kazumi Tanaka, Masami Toyoshima, Anthony Pulcini, Tatsuhiko Nakamura, Yuriko Fuchizaki",Katsuhiro Otomo,4.28 out of 5,603488,"Animation, Action, Science Fiction"
Nostalgia,1983,"Piero Vida, Rate Furlan, Patrizia Terreno, Erland Josephson, Raffaele Di Mario",Andrei Tarkovsky,4.28 out of 5,63255,"Drama, Romance"
2001: A Space Odyssey,1968,"Anthony Jackson, Joe Refalo, Danny Grover, Kim Neil, Penny Brahms",Stanley Kubrick,4.28 out of 5,1082601,"Adventure, Mystery, Science Fiction"
Everything Everywhere All at Once,2022,"Narayana Cabral, Brian Le, Stephanie Hsu, Sunita Mani, Randy Newman","Daniel Scheinert, Daniel Kwan",4.28 out of 5,3030354,"Science Fiction, Adventure, Comedy, Action"
Children of Paradise,1945,"Rognoni, Pierre Palau, Pierre Renoir, Habib Benglia, Maurice Schutz",Marcel Carné,4.28 out of 5,20660,"Drama, Romance"
La Dolce Vita,1960,"Renée Longarini, Mino Doro, Vando Tress, Franco Giacobini, Franca Pasut",Federico Fellini,4.27 out of 5,119733,"Drama, Comedy"
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,"Megumi Ogata, Takehito Koyasu, Motomu Kiyokawa, Junko Iwao, Miki Nagasawa","Mahiro Maeda, Katsuichi Nakayama, Hideaki Anno, Kazuya Tsurumaki",4.28 out of 5,99622,"Drama, Science Fiction, Action, Animation"
Throne of Blood,1957,"Jun Ōtomo, Akira Kubo, Kichijirō Ueda, Mitsuo Asano, Nobuo Nakamura",Akira Kurosawa,4.27 out of 5,92009,"History, Drama"
Casablanca,1942,"Arthur Stuart Hull, Ellinor Vanderveer, Geoffrey Steele, Dan Seymour, Olaf Hytten",Michael Curtiz,4.27 out of 5,582658,"Drama, Romance"
The Cremator,1969,"Jiří Menzel, Václav Halama, Alfred Růžička, H. Sládková, Carmen Mayerová",Juraj Herz,4.27 out of 5,37158,"Horror, Drama, Comedy"
The Man Who Shot Liberty Valance,1962,"Sid Troy, Shug Fisher, Woody Strode, Andy Devine, William Henry",John Ford,4.27 out of 5,73402,Western
Fight Club,1999,"Bruce Holman, Eugenie Bondurant, Christie Cronenweth, Eion Bailey, Michael Zagst",David Fincher,4.27 out of 5,3599294,Drama
The Elephant Man,1980,"Brenda Kempner, Gilda Cohen, Jack Armstrong, Marcus Powell, Hugh Spight",David Lynch,4.27 out of 5,294595,"History, Drama"
Secrets & Lies,1996,"Hannah Davis, Stephen Churchett, Janice Acquah, Brian Bovell, Di Sherlock",Mike Leigh,4.27 out of 5,49688,Drama
Dersu Uzala,1975,"Suimenkul Chokmorov, Serafim Zaytsev, Vladimir Prikhodko, Nikolay Volkov, Yuriy Solomin",Akira Kurosawa,4.27 out of 5,31614,"Drama, Adventure, Action"
Samurai Rebellion,1967,"Isao Yamagata, Hideo Fukuhara, Tetsuko Kobayashi, Yōko Tsukasa, Toshirō Mifune",Masaki Kobayashi,4.27 out of 5,18008,"Drama, Action, History"
Modern Times,1936,"Frank Moran, Walter James, J. C. Nugent, Al Ernest Garcia, Wilfred Lucas",Charlie Chaplin,4.27 out of 5,213260,"Comedy, Drama, Romance"
Look Back,2024,"Yuumi Kawai, Koya Yoshihashi, Shinnosuke Tokudome, Yoichiro Saito, Takeshi Miyajima",Kiyotaka Oshiyama,4.27 out of 5,251408,"Drama, Animation"
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,"Yves Bical, Jan Decorte, Henri Storck, Jacques Doniol-Valcroze, Delphine Seyrig",Chantal Akerman,4.26 out of 5,74671,Drama
Ace in the Hole,1951,"Stanley McKay, Lewis Martin, Frank Andrew Parker, Martin Pendleton, Joe Gray",Billy Wilder,4.26 out of 5,49345,Drama
The Night of the Hunter,1955,"James Gleason, Paul Bryar, Lillian Gish, Shelley Winters, Billy Chapin",Charles Laughton,4.26 out of 5,171111,"Drama, Crime, Thriller"
Network,1976,"Lydia Wilen, Faye Dunaway, Wesley Addy, Ted Sorel, Kenneth Kimmins",Sidney Lumet,4.26 out of 5,165419,Drama
"Life, and Nothing More…",1992,"Youssef Branki, Chahrbanov Chefahi, Mohammad Reza Parvaneh, Ferhed Kadimi, Kassil Fefa",Abbas Kiarostami,4.26 out of 5,30160,Drama
Double Indemnity,1944,"Raymond Chandler, Constance Purdy, Barbara Stanwyck, John Philliber, Richard Gaines",Billy Wilder,4.26 out of 5,170220,"Crime, Thriller"
Who's Afraid of Virginia Woolf?,1966,"Elizabeth Taylor, George Segal, Agnes Flanagan, Richard Burton, Sandy Dennis",Mike Nichols,4.26 out of 5,73653,Drama
The Iron Giant,1999,"James Gammon, M. Emmet Walsh, Charles Howerton, Devon Cole Borisoff, Jennifer Darling",Brad Bird,4.26 out of 5,502002,"Science Fiction, Animation, Family, Adventure"
Alien,1979,"John Hurt, Harry Dean Stanton, Helen Horton, Sigourney Weaver, Ian Holm",Ridley Scott,4.26 out of 5,1388404,"Horror, Science Fiction"
Ugetsu,1953,"Masayuki Mori, Mitsuko Mito, Ichirō Amano, Kichijirō Ueda, Toshio Chiba",Kenji Mizoguchi,4.26 out of 5,50859,"Fantasy, Drama, Mystery"
Some Like It Hot,1959,"Al Breneman, Shep Houghton, Sid Troy, Stuart Hall, Danny Richards Jr.",Billy Wilder,4.26 out of 5,269296,"Romance, Crime, Comedy"
Cure,1997,"Touji Kawahigashi, Taijirō Tamura, Masahiro Toda, Takeshi Mikami, Anna Nakagawa",Kiyoshi Kurosawa,4.26 out of 5,203190,"Crime, Mystery, Thriller, Horror"
Mulholland Drive,2001,"Michael D. Weatherred, Laura Harring, David Frutos, Adrien Curry, Lisa K. Ferguson",David Lynch,4.26 out of 5,830785,"Mystery, Drama, Thriller"
Twin Peaks: Fire Walk with Me,1992,"Andrea Hays, G. Kenneth Davidson, Jane Jones, Margaret Adams, C.H. Evans",David Lynch,4.26 out of 5,289861,"Mystery, Drama, Horror"
Rififi,1955,"Marcel Lesieur, Jacques David, Jacques Besnard, Lita Recio, Armandel",Jules Dassin,4.26 out of 5,37963,"Crime, Drama, Thriller"
Pulp Fiction,1994,"Richard Rossi, Eric Stoltz, Venessia Valentino, Kathy Griffin, Joseph Pilato",Quentin Tarantino,4.26 out of 5,2982207,"Crime, Thriller"
Metropolis,1927,"Erwin Biswanger, Olaf Storm, Arthur Reinhardt, Rudolf Klein-Rogge, Grete Berger",Fritz Lang,4.25 out of 5,203496,"Drama, Science Fiction"
Mary and Max,2009,"Philip Seymour Hoffman, Patrick McCabe, Christopher Massey, Adam Elliot, Renée Geyer",Adam Elliot,4.25 out of 5,142034,"Animation, Comedy, Drama"
The Prestige,2006,"Christian Bale, Monty Stuart, Robert W. Arbogast, James Otis, Rebecca Hall",Christopher Nolan,4.25 out of 5,1232313,"Science Fiction, Drama, Mystery"
The Third Man,1949,"Wilfrid Hyde-White, Erich Ponto, Robert Brown, Trevor Howard, Jenny Werner",Carol Reed,4.25 out of 5,153157,"Mystery, Thriller"
The Tale of The Princess Kaguya,2013,"Tamaki Kojo, Takeo Chii, Yukiji Asaoka, Yuji Miyake, Hiroyuki Yamamoto",Isao Takahata,4.25 out of 5,214984,"Fantasy, Animation, Drama"
A Matter of Life and Death,1946,"Eric Cawthorne, John Longden, Kathleen Byron, Marius Goring, Betty Potter","Michael Powell, Emeric Pressburger",4.25 out of 5,45584,"Comedy, War, Romance, Drama, Fantasy"
Ritual,2000,"Suzuki Matsuo, Ayako Fujitani, Shinobu Ôtake, Shunji Iwai, Jun Murakami",Hideaki Anno,4.25 out of 5,26676,"Drama, Romance"
The Green Mile,1999,"Brian Libby, Tommy Barnes, Michael Clarke Duncan, Evanne Drucker, Dabbs Greer",Frank Darabont,4.25 out of 5,837935,"Drama, Crime, Fantasy"
Sorcerer,1977,"Tom Signorelli, Ray Dittrich, Jean-Luc Bideau, Francisco Rabal, Anne-Marie Deschodt",William Friedkin,4.25 out of 5,99321,"Drama, Thriller, Adventure"
Winter Light,1963,"Max von Sydow, Eddie Axberg, Helena Palmgren, Gunnel Lindblom, Lars-Olof Andersson",Ingmar Bergman,4.25 out of 5,58907,Drama
Malcolm X,1992,"Monty Ross, Larry McCoy, Addison Cook, Lynn Sterling, Christopher Plummer",Spike Lee,4.25 out of 5,136521,"History, Drama"
Umberto D.,1952,"Carlo Battisti, Memmo Carotenuto, Riccardo Ferri, Alberto Albani Barbieri, Pasquale Campagnola",Vittorio De Sica,4.25 out of 5,39819,Drama
Sweet Smell of Success,1957,"Susan Harrison, Ralph Brooks, Joe Di Reda, Lawrence Dobkin, Charles Jordan",Alexander Mackendrick,4.24 out of 5,53254,Drama
Eternal Sunshine of the Spotless Mind,2004,"Deirdre O'Connell, Lola Daehler, David Cross, Brian Price, Tom Wilkinson",Michel Gondry,4.24 out of 5,2420874,"Science Fiction, Romance, Drama"
Aparajito,1956,"Charuprakash Ghosh, Kali Bannerjee, Ramani Sengupta, Kamala Adhikari, Saraswati Pandey",Satyajit Ray,4.24 out of 5,24523,Drama
Saving Private Ryan,1998,"Gary Sefton, John Walters, Dale Dye, Michelle Evans, Joerg Stadler",Steven Spielberg,4.24 out of 5,1042840,"History, Drama, War"
The Grand Budapest Hotel,2014,"Hans Martin Stier, Manfred Lindner, Robert Bienas, Michaela Caspar, Marie Goyette",Wes Anderson,4.24 out of 5,2221126,"Drama, Comedy"
Marcel the Shell with Shoes On,2021,"Jenny Slate, Dean Fleischer Camp, Shari Finkelstein, Jeremy Evans, Rosa Salazar",Dean Fleischer Camp,4.24 out of 5,315466,"Animation, Drama, Comedy, Family"
The First Slam Dunk,2022,"Asami Seto, Chado Horii, Katsuhisa Houki, Kanoko Kuroshima, Maaya Sakamoto",Takehiko Inoue,4.24 out of 5,51346,"Animation, Drama, Comedy"
The Bridge on the River Kwai,1957,"Harold Goodwin, John Boxer, André Morell, Vilaiwan Seeboonreaung, Keiichirō Katsumoto",David Lean,4.24 out of 5,93031,"War, History, Drama"
Napoleon,1927,"Vladimir Roudenko, Nicolas Koline, Antonin Artaud, Louis Sance, Abel Gance",Abel Gance,4.24 out of 5,17148,"Drama, History, War"
The King of Comedy,1982,"Tony Randall, Thomas M. Tolan, Ramon Rodriguez, Thelma Lee, Jeff David",Martin Scorsese,4.24 out of 5,323193,"Comedy, Drama"
The Holdovers,2023,"Colleen Clinton, Juanita Pearl, Mike Kaz, Ian Dolley, David J. Curtis",Alexander Payne,4.24 out of 5,1167625,"Comedy, Drama"
Anatomy of a Murder,1959,"Don Ross, Joseph N. Welch, Russ Brown, Royal Beal, Joseph Kearns",Otto Preminger,4.24 out of 5,70970,"Crime, Drama, Mystery"
We All Loved Each Other So Much,1974,"Laurence Harvey, Ivana Rumor, Nino Manfredi, Giovanna Ralli, Marcello Mastroianni",Ettore Scola,4.24 out of 5,18287,"Drama, Comedy"
Raging Bull,1980,"Wally K. Berns, Charles Guardino, Bernie Allen, Allan Malamud, Johnny Turner",Martin Scorsese,4.24 out of 5,428268,Drama
"4 Months, 3 Weeks and 2 Days",2007,"Liliana Mocanu, Eugenia Bosânceanu, Cristina Burbuz, Adina Cristescu, Ion Sapdaru",Cristian Mungiu,4.24 out of 5,48975,Drama
The Face of Another,1966,"Sen Yano, Kakuya Saeki, Robert Dunham, Hideo Kanze, Hisashi Igawa",Hiroshi Teshigahara,4.24 out of 5,41831,"Science Fiction, Drama"
Solaris,1972,"Sos Sargsyan, Georgiy Teykh, Olga Kizilova, Anatoliy Solonitsyn, Natalya Bondarchuk",Andrei Tarkovsky,4.23 out of 5,162165,"Mystery, Science Fiction, Drama"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,"Todd Edwards, Guy-Manuel de Homem-Christo, DJ Sneak, Thomas Bangalter, Romanthony","Hirotoshi Rissen, Leiji Matsumoto, Daisuke Nishio, Kazuhisa Takenouchi",4.24 out of 5,58694,"Adventure, Science Fiction, Animation, Music"
Kes,1969,"Stephen Crossland, Frank Norton, Julie Shakespeare, John Grayson, David Glover",Ken Loach,4.23 out of 5,41032,Drama
Song of the Sea,2014,"Will Collins, Jon Kenny, Liam Hourican, Paul Young, Kevin Swierszcz",Tomm Moore,4.23 out of 5,103138,"Fantasy, Animation, Family"
Il Sorpasso,1962,"Linda Sini, Nando Angelini, Bruna Simionato, Edda Ferronao, Mila Stanić",Dino Risi,4.24 out of 5,27481,"Comedy, Drama"
Vertigo,1958,"Ellen Corby, Paul Bryar, Alfred Hitchcock, Bess Flowers, Ezelle Poule",Alfred Hitchcock,4.23 out of 5,605817,"Romance, Thriller, Mystery"
Le Samouraï,1967,"Humberto Catalano, Cathy Rosier, Gaston Meunier, André Thorent, Robert Rondo",Jean-Pierre Melville,4.23 out of 5,157384,"Crime, Drama, Thriller"
Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,"Kengo Kawanishi, Yuko Goto, Yohei Azakami, Ai Nonaka, Hiromi Igarashi",Yukihiro Miyamoto,4.23 out of 5,20941,"Mystery, Animation, Fantasy"
The Shining,1980,"Derek Lyons, Louise Burns, Tony Burton, Alison Coleridge, Kate Phelps",Stanley Kubrick,4.23 out of 5,2251854,"Horror, Thriller"
The Best Years of Our Lives,1946,"Ben Erway, Loretta Russell, Dick Earle, Leo Penn, Steve Cochran",William Wyler,4.23 out of 5,38896,"Drama, Romance, War"
The Life and Death of Colonel Blimp,1943,"John Laurie, A.E. Matthews, Norman Pierce, Carl Jaffe, Anton Walbrook","Michael Powell, Emeric Pressburger",4.23 out of 5,23039,"War, Drama, Romance, Comedy"
Tokyo Godfathers,2003,"Tohru Emori, Koichi Yamadera, Chiyako Shibahara, Aya Okamoto, Yusaku Yara",Satoshi Kon,4.23 out of 5,181720,"Drama, Comedy, Animation"
The Disappearance of Haruhi Suzumiya,2010,"Tomokazu Sugita, Aya Hirano, Yuko Goto, Minori Chihara, Natsuko Kuwatani","Yasuhiro Takemoto, Tatsuya Ishihara",4.23 out of 5,15892,"Comedy, Animation, Science Fiction, Mystery, Drama"
Kwaidan,1964,"Mitsuko Narita, Teruhiko Shibata, Keiko Kishi, Ginzô Sekiguchi, Kappei Matsumoto",Masaki Kobayashi,4.23 out of 5,45617,"Fantasy, Horror, Drama"
Millennium Actress,2001,"Showko Tsuda, Koichi Yamadera, Mami Koyama, Masane Tsukayama, Tomie Kataoka",Satoshi Kon,4.23 out of 5,110958,"Romance, Animation, Drama, Fantasy"
An Autumn Afternoon,1962,"Chishū Ryū, Toyo Takahashi, Teruo Yoshida, Keiji Sada, Nobuo Nakamura",Yasujirō Ozu,4.23 out of 5,27324,Drama
Azur & Asmar: The Princes' Quest,2006,"Rayan Mahjoub, Cyril Mourali, Abdelsselem ben Amar, Olivier Claverie, Hiam Abbass",Michel Ocelot,4.23 out of 5,35227,"Family, Animation"
Make Way for Tomorrow,1937,"Ralph Brooks, Jesse Graves, Bernard Suss, Thomas Mitchell, Paul Power",Leo McCarey,4.23 out of 5,17890,"Romance, Drama"
Amour,2012,"Jean-Michel Monroc, Ramon Agirre, Suzanne Schmidt, William Shimell, Alexandre Tharaud",Michael Haneke,4.23 out of 5,120501,"Drama, Romance"
